0: 2.94,0,0,2,-1,-2,3,0,0,1,2,2,-3,-3,1,0,3,0,-1,0,3,4,-4,2,4,-6,-7,-16,0,0,-2,0,0,5,0,2,2,1,-1,-5,3,-1,0,4,6,2,0,-1,2,2,-2,-2,-1,1,4,0,-7,-8,2,4,4,1,0,-7,1,1,0,2,1,0,0,0,0,0,0,1,0,0,0,1,0,1,-1,-2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1: 1.94,0,0,0,1,-1,1,0,0,1,3,0,-4,-2,-2,0,-7,0,-1,0,1,0,0,1,1,1,-1,-11,0,0,-2,0,0,2,0,2,1,1,1,2,2,-1,1,2,4,3,0,0,3,1,-1,-2,0,1,1,0,-5,0,0,0,2,2,0,-6,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,-1,0,-2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,60,-30,-60,90,0,0,30,60,60,-90,-90,30,0,90,0,-30,0,90,120,-120,60,120,-180,-209,-479,0,0,-60,0,0,150,0,60,60,30,-30,-150,90,-30,0,120,180,60,0,-30,60,60,-60,-60,-30,30,120,0,-209,-239,60,120,120,30,0,-209,30,30,0,60,30,0,0,0,0,0,0,30,0,0,0,30,0,30,-30,-60,0,30,0,0,0,30,0,0,0,0,0,0,0,0,0
2: 1.46,0,0,0,-3,-1,1,0,-1,1,0,0,-4,-1,0,0,2,0,-1,0,1,0,1,1,-1,-1,2,-4,0,0,-1,1,0,4,-1,3,-1,1,1,-3,1,0,0,1,3,3,0,1,1,2,-1,-3,-1,-1,1,0,-3,-4,0,1,1,2,0,-4,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,2,-1,1,-2,0,-2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,39,0,-59,79,0,0,39,99,39,-138,-99,-20,0,-79,0,-39,0,79,79,-79,59,99,-99,-158,-532,0,0,-79,0,0,138,0,79,59,39,0,-59,99,-39,20,118,197,99,0,-20,99,59,-59,-79,-20,39,99,0,-237,-158,39,79,118,59,0,-256,20,39,0,59,39,0,0,0,0,0,0,39,0,0,0,39,20,0,-20,-79,0,20,0,0,0,39,0,0,0,0,0,0,0,0,0
3: 1.22,0,0,0,2,-2,1,0,-1,0,0,1,-1,0,0,0,-3,0,-1,0,1,0,-1,2,0,2,-3,-3,0,0,-3,1,1,1,-1,1,0,1,0,3,1,1,-1,2,2,2,0,0,2,0,-2,-2,-1,-1,1,-1,-2,-1,0,2,0,0,0,-3,0,1,0,1,1,0,0,0,0,0,-1,1,0,0,0,1,2,-1,1,-2,0,-2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,32,-48,-63,79,0,-16,48,79,32,-174,-95,-16,0,-32,0,-48,0,79,63,-48,63,63,-95,-95,-492,0,0,-79,16,0,174,-16,111,32,48,16,-95,95,-32,16,111,206,127,0,0,95,79,-63,-111,-32,16,95,0,-238,-190,32,79,111,79,0,-270,16,48,0,63,48,0,0,0,0,0,0,48,0,0,0,48,48,-16,0,-95,0,-16,0,0,0,48,0,0,0,0,0,0,0,0,0
4: 1.05,0,0,0,-1,-1,1,0,0,0,0,1,-2,0,0,0,-1,0,-1,0,1,0,-2,2,-2,0,1,-2,0,0,-2,1,1,1,-1,2,0,1,1,-2,1,0,0,2,2,1,-2,0,1,0,1,-2,-1,-1,1,-1,-2,-1,0,2,1,0,0,-2,1,1,0,1,1,0,0,0,0,0,-1,1,0,0,0,1,2,-1,1,-2,0,-2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,28,-14,-83,83,0,-28,41,69,41,-166,-83,-14,0,-69,0,-55,0,83,55,-55,83,55,-55,-124,-469,0,0,-110,28,14,166,-28,110,28,55,14,-41,97,-14,0,124,207,138,0,0,110,69,-83,-124,-41,0,97,-14,-235,-179,28,97,97,69,0,-276,14,55,0,69,55,0,0,0,0,0,-14,55,0,0,0,55,69,-28,14,-110,0,-41,0,0,0,55,0,0,0,0,0,0,0,0,0
5: 0.963,0,0,0,-1,-1,1,0,0,0,0,1,-2,0,0,0,1,0,-1,0,1,0,-1,2,-2,-1,-1,-2,0,0,-2,1,1,1,-1,2,0,1,1,-1,1,0,0,1,2,0,-2,0,1,0,1,-2,-1,-1,1,0,-2,-1,0,2,1,0,0,-2,1,1,0,1,1,0,0,0,0,0,-1,1,0,0,0,1,1,-1,1,-2,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,25,-25,-86,86,0,-25,37,62,49,-172,-74,-12,0,-74,0,-62,0,86,49,-74,98,25,-49,-98,-443,0,0,-123,37,25,160,-37,123,25,62,25,-62,98,-12,0,135,209,135,-25,0,111,62,-62,-135,-49,-12,98,-25,-234,-172,25,111,98,62,0,-271,25,62,0,74,62,0,0,0,0,0,-25,62,0,0,0,62,86,-37,25,-123,0,-62,0,0,0,62,0,0,0,0,0,0,0,0,0
6: 0.873,0,0,0,-1,-1,1,0,0,0,0,0,-1,-1,0,0,-1,0,-1,0,1,-2,1,2,0,-1,0,-1,0,0,-2,1,1,1,-1,2,-1,1,1,-1,1,0,0,1,2,0,-1,0,1,0,0,-2,-1,-1,0,0,-2,0,0,2,1,0,0,-2,0,1,0,1,1,0,0,0,0,0,-1,1,0,0,0,1,1,-1,1,-1,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,22,-33,-89,89,0,-22,33,56,56,-178,-67,-11,0,-56,0,-67,0,89,44,-78,111,0,-56,-100,-422,0,0,-133,44,33,156,-44,133,22,67,33,-67,100,-11,0,133,211,122,-44,0,111,56,-44,-144,-56,-22,100,-22,-233,-167,22,122,100,56,0,-267,33,67,0,78,67,0,0,0,0,0,-33,67,0,0,0,67,89,-44,33,-133,0,-67,0,0,0,67,0,0,0,0,0,0,0,0,0
7: 0.732,0,0,0,1,0,1,0,0,0,0,0,-2,0,0,0,0,0,-1,0,1,0,0,1,0,0,-1,-1,0,0,-1,0,0,1,-1,1,-1,1,1,1,1,0,0,1,2,0,-1,0,0,0,0,-2,-1,-1,1,0,-2,0,0,0,1,-1,-1,-1,0,1,0,1,1,0,0,0,0,0,-1,1,0,0,0,1,1,-1,0,-1,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,21,-41,-92,92,0,-21,31,51,51,-174,-72,-10,0,-62,0,-72,0,92,21,-62,123,0,-62,-92,-400,0,0,-144,51,41,154,-51,144,10,72,41,-72,103,-10,0,133,215,113,-51,0,113,51,-41,-154,-62,-31,92,-21,-236,-154,21,133,103,51,0,-267,31,72,0,82,72,0,0,0,0,0,-41,72,0,0,0,72,92,-51,41,-133,0,-72,0,0,0,72,0,0,0,0,0,0,0,0,0
8: 0.703,0,0,0,1,0,1,0,0,0,0,-1,-1,-1,0,0,0,0,-1,0,1,-1,1,1,0,0,-1,-1,0,0,0,0,0,1,-1,1,-1,1,1,-1,1,0,0,1,2,0,-1,0,0,0,0,-2,-1,-1,1,0,-1,0,0,0,1,0,-1,-1,0,1,0,1,1,0,0,0,0,0,-1,1,0,0,0,1,1,-1,0,-1,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19,-29,-87,96,0,-19,29,48,48,-183,-67,-10,0,-58,0,-77,0,96,19,-58,125,0,-58,-96,-386,0,0,-145,48,39,154,-58,145,0,77,48,-58,106,-10,0,135,222,106,-58,0,106,48,-39,-164,-67,-39,96,-19,-241,-145,19,125,106,39,-10,-260,29,77,0,87,77,0,0,0,0,0,-48,77,0,0,0,77,96,-58,39,-135,0,-77,0,0,0,77,0,0,0,0,0,0,0,0,0
9: 0.642,0,0,0,1,0,1,0,0,0,0,0,-1,-1,0,0,0,0,-1,0,1,-1,0,1,0,-1,-1,-1,0,0,0,0,0,1,-1,1,0,1,1,-1,1,0,0,1,1,0,-1,0,0,0,0,-1,-1,-1,1,0,-1,0,0,0,1,0,-1,-1,0,1,0,1,1,0,0,0,0,0,-1,1,0,0,0,1,1,-1,0,-1,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18,-18,-82,100,0,-18,27,46,37,-183,-73,-9,0,-55,0,-82,0,100,9,-46,128,0,-55,-100,-374,0,0,-137,46,37,155,-64,146,-9,82,55,-64,110,-9,0,137,228,100,-64,0,100,46,-37,-173,-73,-46,100,-18,-237,-137,18,119,110,37,-18,-256,27,82,0,91,82,0,0,0,0,0,-55,82,0,0,0,82,100,-64,37,-137,0,-82,0,0,0,82,0,0,0,0,0,0,0,0,0
